rank,country,earning,players,tournaments
1.,Dota 2,"$31,050,786.86",982 Players,227 Tournaments
2.,League of Legends,"$7,719,111.53",1943 Players,311 Tournaments
3.,Counter-Strike: Global Offensive,"$6,297,500.42",3038 Players,721 Tournaments
4.,SMITE,"$3,709,088.73",252 Players,42 Tournaments
5.,StarCraft II,"$3,017,759.24",501 Players,690 Tournaments
6.,Call of Duty: Advanced Warfare,"$2,484,861.12",758 Players,365 Tournaments
7.,Heroes of the Storm,"$2,456,969.68",666 Players,289 Tournaments
8.,Hearthstone,"$2,372,583.73",563 Players,251 Tournaments
9.,World of Tanks,"$1,203,054.52",246 Players,20 Tournaments
10.,CrossFire,"$867,943.58",178 Players,75 Tournaments
11.,Heroes of Newerth,"$810,839.41",254 Players,76 Tournaments
12.,Ultra Street Fighter IV,"$642,578.64",148 Players,123 Tournaments
13.,Super Smash Bros. Melee,"$514,706.42",557 Players,533 Tournaments
14.,World of WarCraft,"$470,948.70",82 Players,20 Tournaments
15.,Halo 2 Anniversary,"$378,667.45",81 Players,13 Tournaments
16.,FIFA Online 3,"$358,301.71",28 Players,6 Tournaments
17.,Super Smash Bros. for Wii U,"$274,699.63",478 Players,293 Tournaments
18.,Mortal Kombat X,"$232,922.43",65 Players,40 Tournaments
19.,Attack on Titan Tribute Game,"$220,200.00",28 Players,15 Tournaments
20.,WarCraft III,"$219,781.69",56 Players,58 Tournaments
21.,Point Blank,"$206,001.82",180 Players,18 Tournaments
22.,Age of Empires II,"$203,606.83",231 Players,18 Tournaments
23.,Vainglory,"$193,392.54",83 Players,4 Tournaments
24.,H1Z1,"$173,328.00",20 Players,2 Tournaments
25.,StarCraft: Brood War,"$153,783.67",81 Players,55 Tournaments
26.,Evolve,"$131,509.05",110 Players,33 Tournaments
27.,FIFA 15,"$129,565.09",148 Players,297 Tournaments
28.,Magic: The Gathering Online,"$116,000.00",16 Players,1 Tournament
29.,Guild Wars 2,"$115,930.14",39 Players,34 Tournaments
30.,Blade & Soul,"$103,401.12",16 Players,2 Tournaments
31.,Tekken 7,"$97,214.27",14 Players,3 Tournaments
32.,S.K.I.L.L. - Special Force 2,"$91,548.95",65 Players,16 Tournaments
33.,Battlefield 4,"$83,382.97",93 Players,69 Tournaments
34.,Killer Instinct (2013),"$83,227.57",43 Players,13 Tournaments
35.,Team Fortress 2,"$82,721.87",195 Players,18 Tournaments
36.,Call of Duty: Black Ops III,"$77,597.45",145 Players,23 Tournaments
37.,Project M,"$57,236.28",213 Players,72 Tournaments
38.,KartRider,"$54,188.00",12 Players,1 Tournament
39.,Pokémon VGC,"$51,500.00",16 Players,1 Tournament
40.,Quake Live,"$49,091.89",51 Players,41 Tournaments
41.,Counter-Strike Online,"$40,000.00",15 Players,1 Tournament
42.,iRacing.com,"$39,694.67",113 Players,6 Tournaments
43.,Guilty Gear Xrd -SIGN-,"$30,335.66",69 Players,28 Tournaments
44.,Halo 5: Guardians,"$28,490.94",35 Players,7 Tournaments
45.,Pro Evolution Soccer 2015,"$26,544.76",3 Players,1 Tournament
46.,TrackMania 2: Stadium,"$24,265.77",33 Players,15 Tournaments
47.,Rocket League,"$23,976.56",95 Players,79 Tournaments
48.,FIFA 16,"$22,707.11",20 Players,11 Tournaments
49.,Ultimate Marvel vs. Capcom 3,"$21,643.72",72 Players,24 Tournaments
