rank,country,earning,players,tournaments
93.,Xonotic,"$1,283.15",42 Players,3 Tournaments
94.,Persona 4 Arena Ultimax,"$1,250.00",10 Players,4 Tournaments
95.,Unreal Tournament (2016),"$1,071.42",17 Players,3 Tournaments
96.,Vampire Savior,$918.74,9 Players,3 Tournaments
97.,Guilty Gear XX Accent Core Plus R,$870.00,5 Players,2 Tournaments
98.,King of Fighters XIII,$834.57,9 Players,3 Tournaments
99.,NHL '94,$806.16,7 Players,3 Tournaments
100.,Melty Blood: Actress Again Current Code,$700.00,8 Players,1 Tournament
101.,Dengeki Bunko: Fighting Climax Ignition,$662.30,11 Players,2 Tournaments
102.,Splatoon,$620.00,0 Players,1 Tournament
103.,Trackmania Turbo,$566.91,3 Players,1 Tournament
104.,Injustice: Gods Among Us,$500.00,3 Players,1 Tournament
105.,Rivals of Aether,$500.00,2 Players,2 Tournaments
106.,Bloodline Champions,$455.32,6 Players,4 Tournaments
107.,King of Fighters 2002 Unlimited Match,$380.00,3 Players,1 Tournament
108.,Street Fighter X Tekken,$300.00,3 Players,1 Tournament
109.,Catherine,$270.00,3 Players,1 Tournament
110.,Virtua Fighter 5 Final Showdown,$268.54,7 Players,2 Tournaments
111.,Koihime Enbu,$250.00,3 Players,1 Tournament
112.,MOBA Legends,$225.00,3 Players,1 Tournament
113.,Arcana Heart 3: LOVE MAX!!!!!,$210.00,3 Players,1 Tournament
114.,Marvel vs. Capcom 3,$199.29,0 Players,1 Tournament
115.,Divekick,$180.00,3 Players,1 Tournament
116.,Tatsunoko vs. Capcom: Ultimate All-Stars,$170.00,3 Players,1 Tournament
117.,Aquapazza: Aquaplus Dream Match,$160.00,3 Players,1 Tournament
118.,Soul Calibur V,$140.00,3 Players,2 Tournaments
119.,Marvel vs. Capcom 2,$100.00,3 Players,1 Tournament
120.,Reflex,$32.74,1 Player,1 Tournament
