rank,country,earning,players,tournaments
1.,Counter-Strike,"$346,592.44",222 Players,13 Tournaments
2.,Quake III Arena,"$175,736.74",56 Players,16 Tournaments
3.,Age of Empires II,"$160,541.29",48 Players,17 Tournaments
4.,StarCraft: Brood War,"$110,362.01",50 Players,9 Tournaments
5.,FIFA 2001,"$46,000.00",9 Players,2 Tournaments
6.,Unreal Tournament,"$46,000.00",9 Players,2 Tournaments
7.,Aliens versus Predator 2,"$40,000.00",1 Player,1 Tournament
8.,QuakeWorld,"$15,000.00",8 Players,1 Tournament
9.,Capcom vs. SNK,$0.00,3 Players,1 Tournament
10.,Marvel vs. Capcom 2,$0.00,3 Players,1 Tournament
11.,Street Fighter Alpha 3,$0.00,3 Players,1 Tournament
12.,Super Street Fighter II Turbo,$0.00,3 Players,1 Tournament
