rank,country,earning,players,tournaments
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,1.,United States,"$2,877.27",5 Players
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,2.,United Kingdom,$629.26,1 Player
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,3.,Brazil,$235.75,2 Players
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,4.,Chile,$223.59,4 Players
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,5.,Russian Federation,$191.64,2 Players
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,6.,France,$141.44,1 Player
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,7.,Mexico,$105.12,1 Player
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,8.,Sweden,$92.16,1 Player
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,9.,Germany,$5.29,1 Player
