rank,country,earning,players
1.,United States,"$1,136,779.78",77 Players
2.,Canada,"$208,514.26",9 Players
3.,Australia,"$79,612.52",17 Players
4.,United Kingdom,"$72,519.53",33 Players
5.,France,"$24,088.27",22 Players
6.,Spain,"$8,354.48",30 Players
7.,Ireland,"$7,821.51",1 Player
8.,Bulgaria,$982.88,2 Players
9.,Sweden,$406.20,4 Players
10.,Netherlands,$270.80,4 Players
