rank,country,earning,players
1.,United States,"$1,913,500.00",49 Players
2.,United Kingdom,"$286,000.00",9 Players
3.,France,"$115,000.00",1 Player
4.,Canada,"$96,500.00",5 Players
5.,Denmark,"$80,000.00",1 Player
6.,Saudi Arabia,"$72,500.00",1 Player
7.,Australia,"$49,000.00",13 Players
8.,Spain,"$10,000.00",1 Player
9.,Afghanistan,"$6,500.00",1 Player
