rank,country,earning,players
1.,United States,"$2,153,437.10",137 Players
2.,Canada,"$71,450.00",7 Players
3.,United Kingdom,"$38,947.85",47 Players
4.,France,"$20,156.84",8 Players
5.,Sweden,"$5,414.78",4 Players
6.,Netherlands,"$2,897.90",9 Players
7.,Italy,"$1,500.00",1 Player
8.,Finland,"$1,097.76",4 Players
9.,Ireland,"$1,000.00",1 Player
10.,Belgium,$470.46,2 Players
11.,Norway,$457.92,1 Player
12.,Switzerland,$196.02,1 Player
