rank,country,earning,players
1.,United States,"$1,569,014.56",503 Players
2.,"Korea, Republic of","$1,542,607.08",212 Players
3.,United Kingdom,"$832,180.83",205 Players
4.,Sweden,"$521,539.40",141 Players
5.,Germany,"$488,020.74",208 Players
6.,China,"$319,273.84",103 Players
7.,Denmark,"$262,327.12",114 Players
8.,Russian Federation,"$217,696.40",206 Players
9.,France,"$196,864.95",141 Players
10.,Canada,"$170,359.94",63 Players
11.,Netherlands,"$148,190.69",64 Players
12.,Poland,"$125,391.95",27 Players
13.,Spain,"$116,362.28",48 Players
14.,Ukraine,"$106,744.51",60 Players
15.,Finland,"$95,177.60",85 Players
16.,Brazil,"$66,711.40",12 Players
17.,Italy,"$60,765.25",23 Players
18.,Portugal,"$56,184.38",22 Players
19.,Singapore,"$55,469.50",20 Players
20.,Australia,"$47,000.00",11 Players
21.,Austria,"$43,786.37",12 Players
22.,Mexico,"$30,035.95",11 Players
23.,Japan,"$28,931.00",9 Players
24.,Belgium,"$26,817.85",26 Players
25.,Czech Republic,"$23,606.81",18 Players
26.,Belarus,"$22,583.33",3 Players
27.,"Taiwan, Republic of China","$22,000.00",7 Players
28.,Romania,"$20,477.40",10 Players
29.,Norway,"$15,603.56",33 Players
30.,Slovakia,"$13,943.87",14 Players
31.,Hungary,"$12,989.90",30 Players
32.,Malaysia,"$8,000.00",5 Players
33.,Croatia,"$7,258.34",2 Players
34.,Bulgaria,"$6,849.44",9 Players
35.,Malta,"$3,148.29",9 Players
36.,Argentina,"$3,000.00",1 Player
37.,Hong Kong,"$2,495.48",12 Players
38.,Turkey,"$2,475.84",8 Players
39.,Switzerland,"$2,012.79",4 Players
40.,Iceland,"$1,407.62",1 Player
41.,Estonia,"$1,332.96",2 Players
42.,Serbia,"$1,080.00",1 Player
43.,Lithuania,$816.50,6 Players
44.,Slovenia,$666.48,1 Player
45.,Ireland,$655.20,2 Players
46.,Latvia,$648.90,1 Player
47.,South Africa,$404.83,1 Player
48.,Ecuador,$347.74,1 Player
49.,Kazakhstan,$329.67,1 Player
50.,Puerto Rico,$222.00,2 Players
51.,Chile,$175.00,1 Player
52.,Pakistan,$50.00,1 Player
