rank,country,earning,players
1.,United States,"$1,553,259.46",391 Players
2.,"Korea, Republic of","$972,180.61",137 Players
3.,Sweden,"$578,527.48",113 Players
4.,Germany,"$421,054.41",197 Players
5.,China,"$393,250.84",103 Players
6.,Russian Federation,"$362,312.78",178 Players
7.,France,"$207,998.11",88 Players
8.,Poland,"$117,577.46",29 Players
9.,Brazil,"$115,742.45",57 Players
10.,Netherlands,"$107,229.41",47 Players
11.,Norway,"$102,534.81",52 Players
12.,Ukraine,"$74,100.57",77 Players
13.,Denmark,"$69,003.91",66 Players
14.,Spain,"$60,848.70",24 Players
15.,Canada,"$59,508.44",36 Players
16.,Finland,"$57,884.86",47 Players
17.,United Kingdom,"$39,707.06",42 Players
18.,Estonia,"$38,288.25",14 Players
19.,Austria,"$35,351.35",11 Players
20.,Italy,"$25,388.84",16 Players
21.,Japan,"$25,100.12",15 Players
22.,Australia,"$20,270.50",11 Players
23.,Belarus,"$19,669.11",7 Players
24.,Romania,"$17,073.70",12 Players
25.,Bulgaria,"$14,753.05",6 Players
26.,Croatia,"$10,250.47",3 Players
27.,Mexico,"$10,020.00",4 Players
28.,Belgium,"$9,178.90",10 Players
29.,Czech Republic,"$8,554.06",20 Players
30.,Kazakhstan,"$4,981.10",13 Players
31.,Portugal,"$3,802.25",30 Players
32.,Peru,"$3,200.00",3 Players
33.,Turkey,"$2,608.70",4 Players
34.,Malaysia,"$2,500.00",5 Players
35.,Greece,"$2,370.00",6 Players
36.,Hong Kong,"$2,280.00",4 Players
37.,Ireland,"$1,903.50",5 Players
38.,Switzerland,"$1,689.55",5 Players
39.,Argentina,"$1,632.74",7 Players
40.,Thailand,"$1,450.00",1 Player
41.,Indonesia,"$1,203.69",6 Players
42.,Serbia,"$1,102.67",1 Player
43.,Israel,$866.67,1 Player
44.,South Africa,$770.71,5 Players
45.,Hungary,$696.32,3 Players
46.,Slovakia,$500.00,5 Players
47.,Lithuania,$392.00,2 Players
48.,Singapore,$380.46,2 Players
49.,Venezuela,$350.00,2 Players
50.,"Taiwan, Republic of China",$310.15,1 Player
51.,Colombia,$300.00,1 Player
52.,Viet Nam,$264.90,19 Players
53.,Latvia,$150.00,1 Player
54.,"Iran, Islamic Republic of",$88.84,1 Player
55.,Malta,$70.00,1 Player
56.,Slovenia,$37.50,1 Player
57.,Morocco,$25.59,1 Player
