rank,country,earning,players
1.,China,"$14,652,009.37",752 Players
2.,United States,"$13,194,985.88",2759 Players
3.,"Korea, Republic of","$6,714,401.93",617 Players
4.,Sweden,"$4,028,556.08",523 Players
5.,Canada,"$3,726,081.35",457 Players
6.,Denmark,"$2,266,478.69",287 Players
7.,Russian Federation,"$2,109,925.75",676 Players
8.,Ukraine,"$2,025,177.41",168 Players
9.,Pakistan,"$1,731,607.74",2 Players
10.,Germany,"$1,727,911.73",740 Players
11.,France,"$1,454,604.42",575 Players
12.,United Kingdom,"$1,005,525.63",576 Players
13.,Poland,"$954,426.67",361 Players
14.,Singapore,"$861,627.31",121 Players
15.,"Taiwan, Republic of China","$680,553.66",105 Players
16.,Japan,"$617,881.36",179 Players
17.,Brazil,"$559,948.84",504 Players
18.,Malaysia,"$514,344.84",128 Players
19.,Australia,"$507,672.81",326 Players
20.,Estonia,"$479,092.36",46 Players
21.,Belarus,"$468,623.04",39 Players
22.,Thailand,"$467,952.88",194 Players
23.,Netherlands,"$457,800.03",207 Players
24.,Romania,"$374,350.91",75 Players
25.,Finland,"$359,220.14",236 Players
26.,Spain,"$356,956.26",308 Players
27.,Philippines,"$336,329.36",113 Players
28.,Macao,"$319,566.58",1 Player
29.,Israel,"$306,483.00",25 Players
30.,Norway,"$270,008.73",130 Players
31.,Jordan,"$254,906.87",16 Players
32.,Viet Nam,"$250,653.58",136 Players
33.,Bulgaria,"$169,266.53",98 Players
34.,Portugal,"$152,484.84",132 Players
35.,Slovakia,"$132,579.52",48 Players
36.,Mexico,"$114,904.25",49 Players
37.,Belgium,"$113,820.40",81 Players
38.,Greece,"$112,868.33",96 Players
39.,Chile,"$111,271.73",53 Players
40.,Hong Kong,"$103,969.03",49 Players
41.,Peru,"$93,616.69",36 Players
42.,Czech Republic,"$88,737.31",112 Players
43.,Argentina,"$88,454.82",98 Players
44.,Italy,"$76,764.58",79 Players
45.,Kazakhstan,"$65,086.28",49 Players
46.,Serbia,"$64,830.58",81 Players
47.,Indonesia,"$63,772.29",55 Players
48.,Saudi Arabia,"$60,388.07",7 Players
49.,Turkey,"$58,036.61",78 Players
50.,Hungary,"$49,990.43",103 Players
51.,Slovenia,"$45,793.67",22 Players
52.,Croatia,"$38,246.98",31 Players
53.,New Zealand,"$38,203.26",27 Players
54.,South Africa,"$36,129.83",170 Players
55.,Switzerland,"$30,116.40",38 Players
56.,Venezuela,"$29,258.45",13 Players
57.,Bosnia and Herzegovina,"$27,183.45",16 Players
58.,Austria,"$24,828.04",46 Players
59.,Ireland,"$22,929.71",27 Players
60.,"Moldova, Republic of","$21,612.81",5 Players
61.,North Macedonia,"$19,974.49",4 Players
62.,Kuwait,"$18,134.14",11 Players
63.,Iraq,"$15,031.98",5 Players
64.,Puerto Rico,"$11,369.50",6 Players
65.,Sri Lanka,"$10,572.47",1 Player
66.,India,"$10,370.52",75 Players
67.,Lithuania,"$9,569.88",49 Players
68.,Latvia,"$8,092.48",37 Players
69.,Lebanon,"$7,858.45",7 Players
70.,Colombia,"$7,309.38",6 Players
71.,Bolivia,"$6,529.60",2 Players
72.,Afghanistan,"$6,126.51",1 Player
73.,United Arab Emirates,"$5,935.74",15 Players
74.,Algeria,"$5,915.70",6 Players
75.,Malta,"$5,370.28",50 Players
76.,Iceland,"$4,992.93",25 Players
77.,Kyrgyzstan,"$4,522.39",10 Players
78.,Cuba,"$3,194.90",3 Players
79.,Uruguay,"$3,012.01",2 Players
80.,Azerbaijan,"$2,985.35",8 Players
81.,Mongolia,"$2,852.56",8 Players
82.,Nicaragua,"$2,584.55",1 Player
83.,Georgia,"$1,613.61",2 Players
84.,"Iran, Islamic Republic of","$1,394.00",6 Players
85.,Morocco,"$1,309.41",6 Players
86.,Bahrain,"$1,289.10",1 Player
87.,Tunisia,$785.94,7 Players
88.,Armenia,$596.44,3 Players
89.,Brunei Darussalam,$495.90,5 Players
90.,Egypt,$444.53,6 Players
91.,Dominican Republic,$275.60,1 Player
92.,Lao People's Democratic Republic,$140.55,1 Player
93.,Albania,$137.56,1 Player
94.,Luxembourg,$108.17,2 Players
95.,Cyprus,$107.21,1 Player
96.,Montenegro,$100.01,1 Player
97.,Uzbekistan,$59.17,2 Players
98.,Faroe Islands,$54.01,1 Player
99.,Panama,$47.50,1 Player
100.,Ecuador,$37.50,1 Player
101.,Jamaica,$30.00,1 Player
102.,Liechtenstein,$28.47,1 Player
103.,Maldives,$0.00,1 Player
