rank,country,earning,players
1.,China,"$12,440,810.83",449 Players
2.,"Korea, Republic of","$5,708,449.54",510 Players
3.,United States,"$4,026,800.41",1794 Players
4.,Sweden,"$2,133,514.58",367 Players
5.,Canada,"$1,427,151.96",255 Players
6.,Russian Federation,"$1,202,036.91",329 Players
7.,Ukraine,"$1,005,724.64",96 Players
8.,Germany,"$895,266.04",388 Players
9.,"Taiwan, Republic of China","$797,188.57",121 Players
10.,France,"$672,495.55",362 Players
11.,Denmark,"$669,605.85",190 Players
12.,Malaysia,"$583,702.28",68 Players
13.,Poland,"$463,108.47",195 Players
14.,Singapore,"$437,748.88",64 Players
15.,Netherlands,"$358,262.43",106 Players
16.,United Kingdom,"$309,109.19",316 Players
17.,Romania,"$308,106.44",56 Players
18.,Australia,"$251,144.53",135 Players
19.,Thailand,"$242,936.83",117 Players
20.,Brazil,"$242,618.15",157 Players
21.,Finland,"$237,887.80",202 Players
22.,Estonia,"$229,422.58",18 Players
23.,Norway,"$197,287.00",84 Players
24.,Spain,"$193,625.17",163 Players
25.,Japan,"$166,111.30",99 Players
26.,Philippines,"$152,844.19",64 Players
27.,Macao,"$149,017.41",2 Players
28.,Viet Nam,"$144,433.33",84 Players
29.,Turkey,"$143,983.93",64 Players
30.,Hong Kong,"$125,949.44",53 Players
31.,Mexico,"$97,489.81",27 Players
32.,Belarus,"$95,383.61",30 Players
33.,Israel,"$64,725.19",9 Players
34.,Belgium,"$62,153.69",58 Players
35.,Argentina,"$56,007.12",36 Players
36.,Greece,"$52,555.15",69 Players
37.,Peru,"$43,229.50",17 Players
38.,Chile,"$39,469.83",34 Players
39.,Hungary,"$35,334.65",32 Players
40.,Slovakia,"$34,674.33",32 Players
41.,Czech Republic,"$34,419.75",56 Players
42.,Kazakhstan,"$30,581.57",35 Players
43.,"Moldova, Republic of","$28,639.52",3 Players
44.,Morocco,"$23,822.38",3 Players
45.,Austria,"$23,074.72",26 Players
46.,Italy,"$21,453.36",42 Players
47.,Portugal,"$21,327.72",59 Players
48.,Switzerland,"$18,331.49",17 Players
49.,Uruguay,"$17,257.19",3 Players
50.,Bulgaria,"$17,156.36",39 Players
51.,Venezuela,"$16,935.35",13 Players
52.,Indonesia,"$16,893.12",24 Players
53.,Ireland,"$14,434.81",11 Players
54.,Serbia,"$13,339.07",18 Players
55.,New Zealand,"$11,895.00",15 Players
56.,Colombia,"$9,800.00",11 Players
57.,Lithuania,"$9,591.14",38 Players
58.,Croatia,"$9,467.73",31 Players
59.,Slovenia,"$7,466.79",13 Players
60.,Armenia,"$5,300.00",1 Player
61.,Tunisia,"$5,137.02",2 Players
62.,Latvia,"$4,694.70",10 Players
63.,Malta,"$4,612.88",48 Players
64.,South Africa,"$4,270.20",30 Players
65.,"Iran, Islamic Republic of","$4,128.87",2 Players
66.,Bolivia,"$3,911.60",1 Player
67.,Iceland,"$3,834.31",7 Players
68.,Azerbaijan,"$3,700.00",7 Players
69.,Bosnia and Herzegovina,"$3,501.46",7 Players
70.,Costa Rica,"$3,500.00",1 Player
71.,Panama,"$3,500.00",1 Player
72.,Cuba,"$3,400.00",2 Players
73.,Iraq,"$2,600.00",1 Player
74.,India,"$2,152.27",9 Players
75.,Puerto Rico,"$2,102.07",2 Players
76.,Mongolia,"$1,274.00",2 Players
77.,Ecuador,"$1,200.00",1 Player
78.,Saudi Arabia,$981.33,2 Players
79.,Lao People's Democratic Republic,$779.04,1 Player
80.,Afghanistan,$632.46,2 Players
81.,Albania,$527.07,3 Players
82.,Georgia,$500.00,1 Player
83.,Luxembourg,$411.45,3 Players
84.,Bahrain,$373.34,1 Player
85.,North Macedonia,$227.10,1 Player
86.,Montenegro,$187.05,5 Players
87.,Brunei Darussalam,$91.60,5 Players
88.,Cyprus,$31.15,1 Player
