rank,country,earning,players
1.,"Korea, Republic of","$2,739,584.06",303 Players
2.,United States,"$2,085,080.37",781 Players
3.,Ukraine,"$829,074.10",55 Players
4.,China,"$746,950.24",185 Players
5.,United Kingdom,"$480,306.74",200 Players
6.,Sweden,"$475,467.60",146 Players
7.,Russian Federation,"$400,454.50",129 Players
8.,France,"$358,656.90",234 Players
9.,Germany,"$336,565.09",209 Players
10.,Poland,"$276,686.61",83 Players
11.,Canada,"$226,981.73",130 Players
12.,Estonia,"$204,897.31",19 Players
13.,Denmark,"$194,704.61",116 Players
14.,Singapore,"$154,154.25",22 Players
15.,Finland,"$109,363.77",85 Players
16.,"Taiwan, Republic of China","$72,139.74",19 Players
17.,Japan,"$59,438.30",15 Players
18.,Netherlands,"$54,215.54",57 Players
19.,Spain,"$49,564.20",45 Players
20.,Thailand,"$42,298.69",15 Players
21.,Australia,"$32,330.20",30 Players
22.,Portugal,"$32,290.21",36 Players
23.,Kazakhstan,"$28,410.89",207 Players
24.,Belgium,"$26,828.09",32 Players
25.,Brazil,"$26,422.21",31 Players
26.,Norway,"$25,278.70",29 Players
27.,Malaysia,"$24,160.59",20 Players
28.,Italy,"$23,294.41",18 Players
29.,Romania,"$18,654.83",29 Players
30.,Belarus,"$17,573.40",11 Players
31.,Serbia,"$15,973.69",31 Players
32.,Slovakia,"$14,308.75",8 Players
33.,Bosnia and Herzegovina,"$13,994.39",2 Players
34.,Austria,"$13,884.61",29 Players
35.,Bulgaria,"$13,036.75",29 Players
36.,Cuba,"$12,000.00",1 Player
37.,Israel,"$11,675.48",9 Players
38.,Mexico,"$11,283.00",4 Players
39.,Kyrgyzstan,"$11,281.99",8 Players
40.,Croatia,"$10,982.40",8 Players
41.,Philippines,"$10,636.26",14 Players
42.,Macao,"$10,327.42",1 Player
43.,Peru,"$9,316.74",8 Players
44.,Chile,"$8,009.04",2 Players
45.,Turkey,"$7,182.92",10 Players
46.,Hong Kong,"$6,815.84",15 Players
47.,Czech Republic,"$6,276.94",23 Players
48.,New Zealand,"$6,010.18",3 Players
49.,Hungary,"$5,911.17",16 Players
50.,Switzerland,"$5,489.45",6 Players
51.,Colombia,"$5,000.00",1 Player
52.,Iceland,"$5,000.00",1 Player
53.,Saudi Arabia,"$3,972.00",1 Player
54.,Viet Nam,"$3,524.40",34 Players
55.,South Africa,"$3,209.35",11 Players
56.,Lithuania,"$3,137.96",12 Players
57.,United Arab Emirates,"$3,003.00",7 Players
58.,North Macedonia,"$2,730.00",8 Players
59.,Uzbekistan,"$2,649.59",8 Players
60.,Puerto Rico,"$2,224.50",2 Players
61.,Indonesia,"$2,000.00",5 Players
62.,Ireland,"$1,362.61",6 Players
63.,Venezuela,"$1,357.14",1 Player
64.,Lebanon,$666.67,1 Player
65.,Latvia,$482.49,13 Players
66.,Greece,$427.85,10 Players
67.,Panama,$400.00,1 Player
68.,Armenia,$278.60,1 Player
69.,India,$273.00,1 Player
70.,Pakistan,$273.00,1 Player
71.,"Iran, Islamic Republic of",$137.64,1 Player
72.,Morocco,$83.25,1 Player
