rank,country,earning,players,tournaments
Brawlhalla,40.,--UNDEFINED--,$630.00,3 Players
Brawlhalla,41.,Peru,$550.00,1 Player
Brawlhalla,42.,Slovakia,$522.50,1 Player
Brawlhalla,43.,"Taiwan, Republic of China",$410.00,1 Player
Brawlhalla,44.,Egypt,$400.00,1 Player
Brawlhalla,45.,Philippines,$345.00,7 Players
Brawlhalla,46.,Switzerland,$300.00,1 Player
Brawlhalla,47.,Mexico,$290.00,2 Players
Brawlhalla,48.,Saudi Arabia,$250.00,1 Player
Brawlhalla,49.,"Korea, Republic of",$220.00,2 Players
Brawlhalla,50.,Venezuela,$220.00,5 Players
Brawlhalla,51.,Serbia,$177.14,1 Player
Brawlhalla,52.,Albania,$150.00,1 Player
Brawlhalla,53.,Tunisia,$80.83,2 Players
Brawlhalla,54.,Uruguay,$60.00,1 Player
Brawlhalla,55.,Viet Nam,$50.00,3 Players
Brawlhalla,56.,"Kosovo, Republic of",$50.00,1 Player
Brawlhalla,57.,Colombia,$40.00,2 Players
Brawlhalla,58.,United States Minor Outlying Islands,$30.00,1 Player
Brawlhalla,59.,Macao,$25.00,1 Player
Brawlhalla,60.,Maldives,$20.00,1 Player
Brawlhalla,61.,Romania,$10.00,1 Player
Brawlhalla,62.,Algeria,$7.50,1 Player
Brawlhalla,63.,Iraq,$7.50,1 Player
Breakers Revenge,1.,Brazil,$9.60,1 Player
Breakers Revenge,2.,Argentina,$4.80,1 Player
Breakers Revenge,3.,United States,$1.60,1 Player
Capcom vs. SNK,1.,United States,$140.00,4 Players
Capcom vs. SNK,2.,Canada,$0.00,1 Player
Capcom vs. SNK,3.,Japan,$0.00,1 Player
Capcom vs. SNK 2,1.,Japan,"$13,026.50",8 Players
Capcom vs. SNK 2,2.,United States,"$11,800.11",28 Players
Capcom vs. SNK 2,3.,Canada,$150.18,2 Players
Chaos Code New Sign of Catastrophe,1.,Japan,$84.00,1 Player
Chaos Code New Sign of Catastrophe,2.,United States,$56.00,2 Players
Dead or Alive 4,1.,United States,"$228,250.00",17 Players
Dead or Alive 4,2.,United Kingdom,"$126,517.82",7 Players
Dead or Alive 4,3.,Canada,"$37,600.00",1 Player
Dead or Alive 4,4.,Mexico,"$23,200.00",6 Players
Dead or Alive 4,5.,Germany,"$19,537.08",1 Player
Dead or Alive 4,6.,Netherlands,"$14,000.00",1 Player
Dead or Alive 4,7.,Singapore,"$11,000.00",3 Players
Dead or Alive 4,8.,France,"$10,000.00",3 Players
Dead or Alive 4,9.,Australia,"$9,000.00",3 Players
Dead or Alive 4,10.,Sweden,"$7,312.54",1 Player
Dead or Alive 4,11.,China,"$6,000.00",2 Players
Dead or Alive 4,12.,"Korea, Republic of","$3,000.00",2 Players
Dead or Alive 4,13.,Switzerland,"$1,331.80",1 Player
Dead or Alive 4,14.,Finland,$996.07,3 Players
Dead or Alive 5,1.,Japan,$0.00,2 Players
Dead or Alive 5,2.,"Taiwan, Republic of China",$0.00,1 Player
Dead or Alive 5,3.,United States,$0.00,1 Player
Dead or Alive 5 Ultimate,1.,Netherlands,$0.00,1 Player
Dead or Alive 5 Ultimate,2.,United States,$0.00,36 Players
Dead or Alive 5 Last Round,1.,United States,"$9,522.04",40 Players
Dead or Alive 5 Last Round,2.,Japan,"$5,075.00",1 Player
Dead or Alive 5 Last Round,3.,Australia,$796.19,3 Players
Dead or Alive 5 Last Round,4.,Canada,$20.59,2 Players
Dead or Alive 6,1.,United States,"$35,078.23",37 Players
Dead or Alive 6,2.,Japan,"$21,463.50",13 Players
Dead or Alive 6,3.,Netherlands,"$3,880.96",1 Player
Dead or Alive 6,4.,France,"$2,559.58",7 Players
Dead or Alive 6,5.,Lebanon,$500.00,1 Player
Dead or Alive 6,6.,"Taiwan, Republic of China",$500.00,3 Players
Dead or Alive 6,7.,Italy,$350.00,1 Player
Dead or Alive 6,8.,Germany,$150.00,1 Player
Dead or Alive 6,9.,Spain,$20.29,1 Player
Dead or Alive 6,10.,Canada,$9.98,1 Player
Dead or Alive Ultimate,1.,Japan,"$15,000.00",1 Player
Dead or Alive Ultimate,2.,Singapore,"$10,000.00",1 Player
Dead or Alive Ultimate,3.,"Korea, Republic of","$5,000.00",1 Player
Def Jam Fight for NY,1.,United States,$550.00,6 Players
Dengeki Bunko Fighting Climax,1.,United States,$60.00,3 Players
Dengeki Bunko Fighting Climax Ignition,1.,United States,"$1,681.05",25 Players
Dengeki Bunko Fighting Climax Ignition,2.,Canada,$914.85,4 Players
Dengeki Bunko Fighting Climax Ignition,3.,Japan,$789.38,6 Players
Dengeki Bunko Fighting Climax Ignition,4.,Mexico,$201.60,1 Player
Dengeki Bunko Fighting Climax Ignition,5.,Costa Rica,$144.00,1 Player
Dengeki Bunko Fighting Climax Ignition,6.,"Taiwan, Republic of China",$65.00,1 Player
Dengeki Bunko Fighting Climax Ignition,7.,Thailand,$56.92,2 Players
Digimon Rumble Arena,1.,United States,$200.00,5 Players
Divekick,1.,United States,"$5,820.00",26 Players
Divekick,2.,Canada,$20.00,1 Player
DNF Duel,1.,Japan,"$99,790.90",8 Players
DNF Duel,2.,United States,"$11,065.19",18 Players
DNF Duel,3.,"Korea, Republic of","$7,321.83",5 Players
DNF Duel,4.,United Kingdom,"$5,536.48",5 Players
DNF Duel,5.,Greece,"$3,173.52",1 Player
DNF Duel,6.,Puerto Rico,$675.00,3 Players
DNF Duel,7.,Trinidad and Tobago,$296.44,1 Player
DNF Duel,8.,Sweden,$246.64,1 Player
DNF Duel,9.,Costa Rica,$212.10,1 Player
DNF Duel,10.,Germany,$123.32,2 Players
DNF Duel,11.,Singapore,$73.99,3 Players
DNF Duel,12.,Thailand,$62.50,1 Player
DNF Duel,13.,Philippines,$17.57,1 Player
Dragon Ball FighterZ,1.,Japan,"$170,218.01",26 Players
Dragon Ball FighterZ,2.,United States,"$155,692.76",142 Players
Dragon Ball FighterZ,3.,France,"$54,584.16",27 Players
Dragon Ball FighterZ,4.,Spain,"$18,582.94",7 Players
Dragon Ball FighterZ,5.,Germany,"$5,832.79",5 Players
Dragon Ball FighterZ,6.,Canada,"$3,600.39",26 Players
Dragon Ball FighterZ,7.,Sweden,"$2,786.70",2 Players
Dragon Ball FighterZ,8.,United Kingdom,"$1,845.13",4 Players
Dragon Ball FighterZ,9.,Dominican Republic,"$1,768.34",5 Players
Dragon Ball FighterZ,10.,Brazil,"$1,359.20",8 Players
Dragon Ball FighterZ,11.,Singapore,"$1,143.00",2 Players
Dragon Ball FighterZ,12.,Australia,$969.54,10 Players
Dragon Ball FighterZ,13.,Pakistan,$640.00,1 Player
Dragon Ball FighterZ,14.,Mexico,$595.78,6 Players
Dragon Ball FighterZ,15.,Netherlands,$572.77,1 Player
Dragon Ball FighterZ,16.,Philippines,$514.09,5 Players
Dragon Ball FighterZ,17.,Puerto Rico,$369.76,3 Players
Dragon Ball FighterZ,18.,Costa Rica,$323.80,1 Player
Dragon Ball FighterZ,19.,Thailand,$215.97,4 Players
Dragon Ball FighterZ,20.,Lebanon,$120.00,1 Player
