game,rank,country,earning,players
Call of Duty Black Ops 2,1.,United States,"$1,058,289.30",46 Players
Call of Duty Black Ops 2,2.,Canada,"$174,676.04",4 Players
Call of Duty Black Ops 2,3.,United Kingdom,"$98,252.62",34 Players
Call of Duty Black Ops 2,4.,Ireland,"$49,735.62",3 Players
Call of Duty Black Ops 2,5.,Italy,"$24,825.53",22 Players
Call of Duty Black Ops 2,6.,France,"$24,250.33",25 Players
Call of Duty Black Ops 2,7.,Spain,"$5,210.42",19 Players
Call of Duty Black Ops 2,8.,Netherlands,"$4,422.82",8 Players
Call of Duty Black Ops 2,9.,Germany,"$3,498.87",8 Players
Call of Duty Black Ops 2,10.,Greece,"$3,252.40",10 Players
Call of Duty Black Ops 2,11.,Belgium,"$1,523.03",1 Player
Call of Duty Black Ops 2,12.,Austria,$485.84,1 Player
Call of Duty Black Ops 2,13.,Sweden,$200.00,4 Players
Call of Duty Black Ops 2,14.,Morocco,$139.97,1 Player
Call of Duty Black Ops 2,15.,Bulgaria,$135.42,1 Player
