game,rank,country,earning,players
Counter-Strike Global Offensive,88.,"Moldova, Republic of","$5,422.62",18 Players
Counter-Strike Global Offensive,89.,Mauritius,"$5,185.71",6 Players
Counter-Strike Global Offensive,90.,Namibia,"$5,000.00",5 Players
Counter-Strike Global Offensive,91.,Cambodia,"$4,053.57",44 Players
Counter-Strike Global Offensive,92.,Brunei Darussalam,"$4,007.86",39 Players
Counter-Strike Global Offensive,93.,Sri Lanka,"$3,507.45",11 Players
Counter-Strike Global Offensive,94.,Lao People's Democratic Republic,"$2,207.99",23 Players
Counter-Strike Global Offensive,95.,Cuba,"$1,433.57",2 Players
Counter-Strike Global Offensive,96.,Bangladesh,"$1,081.56",8 Players
Counter-Strike Global Offensive,97.,Qatar,"$1,000.00",1 Player
Counter-Strike Global Offensive,98.,Ecuador,$969.49,3 Players
Counter-Strike Global Offensive,99.,Afghanistan,$830.54,2 Players
Counter-Strike Global Offensive,100.,"Palestine, State of",$821.32,2 Players
Counter-Strike Global Offensive,101.,Bahrain,$766.67,1 Player
Counter-Strike Global Offensive,102.,Armenia,$730.00,1 Player
Counter-Strike Global Offensive,103.,Paraguay,$687.19,4 Players
Counter-Strike Global Offensive,104.,Dominican Republic,$250.67,2 Players
Counter-Strike Global Offensive,105.,Panama,$173.14,4 Players
Counter-Strike Global Offensive,106.,Costa Rica,$150.00,1 Player
Counter-Strike Global Offensive,107.,Cyprus,$123.33,1 Player
Counter-Strike Global Offensive,108.,New Caledonia,$112.97,1 Player
Counter-Strike Global Offensive,109.,Egypt,$108.92,1 Player
Counter-Strike Global Offensive,110.,Maldives,$101.54,1 Player
Counter-Strike Global Offensive,111.,Jersey,$60.00,1 Player
Counter-Strike Global Offensive,112.,Saint Martin,$50.00,1 Player
Counter-Strike Global Offensive,113.,Bolivia,$20.00,1 Player
