Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Georgia,80.0,34.333333333333336,36.0,17.0,25.333333333333332,25.0,60.0,34.0,53.5,55.0,78.0,13.5
Germany,7.0,7.612903225806452,2.5,10.0,7.628571428571429,6.314285714285714,10.166666666666666,3.7435897435897436,15.0,3.0,2.7948717948717947,7.0
Ghana,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,28.0,13.5
Gibraltar,80.0,40.0,36.0,17.0,61.0,75.0,106.0,51.0,33.0,55.0,78.0,13.5
Greece,21.0,39.0,36.0,17.0,16.88888888888889,26.529411764705884,32.75,18.75,45.5,51.0,9.0,13.5
Greenland,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,72.0,55.0,78.0,13.5
Guatemala,33.0,47.8,29.0,17.0,28.333333333333332,43.0,62.0,51.0,70.5,37.0,78.0,13.5
Guernsey,80.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,48.0,13.5
Guyana,80.0,44.0,36.0,17.0,61.0,75.0,106.0,51.0,79.0,55.0,78.0,13.5
Honduras,69.0,55.0,36.0,17.0,35.5,39.5,106.0,51.0,41.0,38.0,44.0,13.5
Hong Kong,19.4,38.285714285714285,36.0,5.5,15.909090909090908,28.846153846153847,21.166666666666668,24.0,49.2,19.0,30.444444444444443,13.5
Hungary,26.0,25.476190476190474,24.5,17.0,42.0,25.4,30.25,13.066666666666666,56.0,49.0,21.625,4.0
Iceland,59.0,44.2,33.0,17.0,61.0,47.0,71.66666666666667,51.0,62.0,55.0,32.0,13.5
India,43.0,32.54545454545455,5.0,1.0,21.285714285714285,16.285714285714285,43.0,34.666666666666664,39.0,55.0,26.333333333333332,13.5
Indonesia,31.8,27.272727272727273,36.0,3.0,27.375,32.0,23.2,24.0,17.0,17.0,16.692307692307693,13.5
"Iran, Islamic Republic of",79.0,59.75,36.0,17.0,61.0,26.833333333333332,43.8,14.0,76.5,55.0,11.428571428571429,13.5
Iraq,35.0,59.2,36.0,17.0,48.0,44.333333333333336,47.0,51.0,35.5,55.0,78.0,13.5
Ireland,27.5,21.45945945945946,36.0,17.0,22.09090909090909,31.5,54.2,21.09090909090909,36.8,34.0,23.714285714285715,11.0
Isle of Man,80.0,114.0,36.0,17.0,61.0,75.0,106.0,39.0,109.0,55.0,78.0,13.5
Israel,28.8,24.333333333333332,15.0,17.0,23.333333333333332,32.1,31.5,42.0,55.333333333333336,29.0,21.375,13.5
Italy,15.7,15.916666666666666,11.0,1.0,13.947368421052632,20.0,29.666666666666668,9.2,39.25,25.0,9.2,9.0
Jamaica,80.0,49.5,6.0,17.0,47.0,74.0,75.0,45.0,89.33333333333333,55.0,78.0,13.5
Japan,7.222222222222222,15.958333333333334,3.5,2.1666666666666665,2.5268817204301075,14.08695652173913,20.6,11.5,9.0,8.0,13.214285714285714,13.5
Jersey,80.0,111.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,52.0,38.0,13.5
Jordan,54.0,40.0,36.0,17.0,29.0,11.0,29.666666666666668,51.0,47.75,55.0,17.5,13.5
Kazakhstan,21.0,33.23076923076923,36.0,17.0,8.5,24.916666666666668,26.0,34.0,47.2,55.0,23.625,13.5
Kenya,80.0,66.0,36.0,17.0,55.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
"Korea, Republic of",14.555555555555555,13.85,2.6666666666666665,5.25,7.823529411764706,5.105263157894737,11.166666666666666,9.285714285714286,7.666666666666667,2.0,15.2,13.5
"Kosovo, Republic of",80.0,65.0,36.0,17.0,56.0,75.0,44.0,51.0,66.0,55.0,78.0,13.5
Kuwait,76.0,50.2,36.0,17.0,26.4,34.0,40.333333333333336,51.0,38.5,55.0,36.5,12.5
Kyrgyzstan,78.0,78.0,36.0,17.0,61.0,39.0,27.0,51.0,42.0,55.0,78.0,13.5
Lao People's Democratic Republic,80.0,84.0,36.0,17.0,61.0,59.0,52.0,51.0,96.0,55.0,78.0,13.5
Latvia,48.0,25.76923076923077,36.0,3.0,61.0,29.142857142857142,41.5,31.333333333333332,58.25,24.0,39.0,13.5
Lebanon,39.0,44.6,36.0,17.0,26.666666666666668,53.0,27.0,37.0,52.333333333333336,55.0,78.0,13.5
Libyan Arab Jamahiriya,80.0,114.0,36.0,17.0,61.0,53.0,106.0,51.0,48.0,55.0,78.0,13.5
Liechtenstein,80.0,25.0,36.0,17.0,61.0,75.0,106.0,33.0,109.0,55.0,78.0,13.5
Lithuania,29.0,36.23076923076923,10.0,17.0,41.0,33.75,44.6,23.25,42.75,31.0,42.0,13.5
Luxembourg,36.5,64.0,36.0,17.0,22.75,63.666666666666664,50.0,39.333333333333336,83.0,55.0,48.333333333333336,13.5
Macao,30.0,80.0,36.0,17.0,59.0,74.0,29.75,19.0,51.0,55.0,78.0,13.5
Madagascar,73.0,114.0,36.0,17.0,32.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Malaysia,30.166666666666668,32.333333333333336,7.0,3.0,20.0,32.81818181818182,14.909090909090908,33.833333333333336,32.0,23.0,18.266666666666666,13.5
Maldives,80.0,110.0,36.0,17.0,60.0,75.0,106.0,51.0,109.0,55.0,24.0,13.5
Malta,80.0,32.36363636363637,36.0,17.0,45.5,57.0,82.0,32.0,66.0,55.0,23.416666666666668,13.5
Mauritania,71.0,114.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Mauritius,80.0,89.0,36.0,17.0,61.0,75.0,106.0,51.0,104.0,55.0,40.0,13.5
Mexico,27.833333333333332,21.555555555555557,25.0,4.5,9.916666666666666,21.176470588235293,32.125,13.4,22.428571428571427,55.0,13.466666666666667,2.5
"Moldova, Republic of",16.0,54.166666666666664,36.0,17.0,61.0,35.0,41.0,51.0,67.75,55.0,78.0,13.5
Monaco,80.0,114.0,36.0,17.0,61.0,43.0,106.0,33.5,109.0,55.0,65.0,13.5
Mongolia,80.0,38.666666666666664,36.0,17.0,61.0,44.0,41.5,25.0,41.0,55.0,78.0,13.5
Montenegro,80.0,42.0,36.0,17.0,61.0,70.0,95.0,51.0,109.0,55.0,78.0,13.5
Morocco,15.0,38.72727272727273,19.0,17.0,19.857142857142858,45.5,35.0,26.0,29.0,36.0,28.666666666666668,13.5
Mozambique,80.0,98.0,36.0,17.0,61.0,47.0,106.0,51.0,98.0,55.0,72.0,13.5
Myanmar,80.0,58.666666666666664,36.0,17.0,61.0,57.0,24.0,51.0,54.5,55.0,78.0,13.5
Namibia,80.0,90.0,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
Nepal,80.0,114.0,36.0,17.0,61.0,21.0,73.0,51.0,44.0,55.0,78.0,13.5
Netherlands,19.375,9.066666666666666,13.666666666666666,5.0,11.8,14.642857142857142,18.384615384615383,4.8125,31.75,13.5,8.166666666666666,13.5
New Caledonia,17.0,76.5,36.0,17.0,61.0,75.0,106.0,51.0,109.0,55.0,78.0,13.5
