Country,BattleRoyale,CollectibleCardGame,FPS,FightingGame,MOBA,Music,Puzzle,RPG,Racing,Sports,Strategy,TPS
Mexico,52.16666666666667,92.44444444444444,11.0,12.5,51.083333333333336,53.82352941176471,73.875,37.6,86.57142857142857,0.0,64.53333333333333,11.0
"Moldova, Republic of",64.0,59.83333333333334,0.0,0.0,0.0,40.0,65.0,0.0,41.25,0.0,0.0,0.0
Monaco,0.0,0.0,0.0,0.0,0.0,32.0,0.0,17.5,0.0,0.0,13.0,0.0
Mongolia,0.0,75.33333333333334,0.0,0.0,0.0,31.0,64.5,26.0,68.0,0.0,0.0,0.0
Montenegro,0.0,72.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
Morocco,65.0,75.27272727272728,17.0,0.0,41.14285714285714,29.5,71.0,25.0,80.0,19.0,49.33333333333333,0.0
Mozambique,0.0,16.0,0.0,0.0,0.0,28.0,0.0,0.0,11.0,0.0,6.0,0.0
Myanmar,0.0,55.33333333333334,0.0,0.0,0.0,18.0,82.0,0.0,54.5,0.0,0.0,0.0
Namibia,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,0.0,0.0,0.0,54.0,33.0,0.0,65.0,0.0,0.0,0.0
Netherlands,60.625,104.93333333333334,22.333333333333336,12.0,49.2,60.35714285714286,87.61538461538461,46.1875,77.25,41.5,69.83333333333333,0.0
New Caledonia,63.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,48.0,95.21739130434783,29.0,11.5,38.22222222222222,35.111111111111114,75.44444444444444,27.0,72.75,9.0,56.5,2.5
Nicaragua,0.0,0.0,0.0,0.0,51.5,19.0,31.5,0.0,58.5,0.0,0.0,0.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0
North Macedonia,0.0,58.666666666666664,0.0,0.0,0.0,46.0,59.5,31.833333333333332,22.0,0.0,0.0,0.0
Northern Mariana Islands,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,57.8,96.65625,19.0,14.0,48.77777777777778,56.85,88.0,35.166666666666664,96.66666666666667,27.0,53.0,6.5
Oman,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,47.5,0.0,23.0,0.0
Pakistan,0.0,59.4,0.0,0.0,51.55555555555556,39.666666666666664,56.0,0.0,75.0,0.0,0.0,0.0
"Palestine, State of",47.0,39.33333333333333,0.0,0.0,36.0,0.0,47.5,0.0,49.5,0.0,23.0,0.0
Panama,0.0,37.33333333333333,0.0,0.0,34.625,33.0,63.0,0.0,36.66666666666667,0.0,36.25,0.0
Papua New Guinea,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paraguay,0.0,41.66666666666667,0.0,0.0,27.0,28.666666666666664,9.0,0.0,51.25,0.0,0.0,0.0
Peru,50.0,71.0,0.0,0.0,41.66666666666667,57.19047619047619,77.25,6.0,53.6,42.0,55.0,0.0
Philippines,55.4,86.92857142857143,32.0,14.0,41.8,45.125,89.4,25.0,80.5,34.0,34.0,11.0
Poland,66.625,101.1025641025641,33.0,7.0,41.83333333333333,62.083333333333336,84.84615384615384,43.18181818181818,78.8,52.0,64.33333333333333,6.5
Portugal,62.0,96.32,0.0,6.0,41.0,48.785714285714285,75.375,32.7,78.28571428571428,23.0,66.93333333333334,0.0
Puerto Rico,0.0,76.42857142857143,0.0,0.0,50.73529411764706,48.5,54.5,9.0,55.2,0.0,70.5,8.5
Qatar,0.0,47.0,0.0,0.0,35.5,53.0,0.0,0.0,41.0,0.0,38.666666666666664,0.0
Reunion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
Romania,59.0,80.61538461538461,16.0,1.0,37.25,47.0,81.77777777777777,25.0,62.25,37.0,62.84615384615385,0.0
Russian Federation,70.18181818181819,106.775,27.0,0.0,45.36842105263158,66.96000000000001,95.47058823529412,37.4,102.0,39.0,60.611111111111114,5.5
Saint Barthélemy,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Martin,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,43.0,101.4375,20.0,0.0,43.785714285714285,33.0,72.0,0.0,84.66666666666667,0.0,71.0909090909091,0.0
Senegal,0.0,0.0,0.0,0.0,37.0,0.0,13.0,0.0,18.0,0.0,51.6,0.0
Serbia,46.0,80.1875,0.0,0.0,30.0,48.25,75.16666666666667,15.600000000000001,64.75,0.0,37.5,6.5
Singapore,56.5,95.92,0.0,0.0,49.391304347826086,52.7,89.5,30.22222222222222,63.2,5.0,58.5,0.0
Slovakia,53.0,83.64285714285714,27.5,0.0,19.0,34.875,76.6,32.92307692307692,54.666666666666664,0.0,41.6,0.0
Slovenia,45.25,74.44444444444444,29.0,0.0,0.0,46.66666666666667,71.5,33.875,63.33333333333334,0.0,30.666666666666664,0.0
South Africa,46.25,87.1,0.0,0.0,33.0,33.5,43.5,23.0,44.33333333333333,0.0,58.44444444444444,0.0
Spain,64.33333333333333,100.93333333333334,26.333333333333336,0.0,49.592592592592595,62.0,83.07692307692308,41.0,78.5,29.0,72.38461538461539,6.0
