rank,country,earning,players
1.,Germany,"$617,862.57",47 Players
2.,United Kingdom,"$478,314.64",48 Players
3.,France,"$284,725.91",25 Players
4.,Argentina,"$242,125.00",5 Players
5.,Saudi Arabia,"$227,115.00",11 Players
6.,Denmark,"$213,200.00",25 Players
7.,Brazil,"$197,350.00",25 Players
8.,United States,"$140,700.00",17 Players
9.,Netherlands,"$130,975.00",14 Players
10.,Spain,"$112,109.56",13 Players
11.,Portugal,"$86,407.87",12 Players
12.,Mexico,"$78,850.00",6 Players
13.,Bulgaria,"$68,455.29",5 Players
14.,Poland,"$53,306.67",14 Players
15.,Ireland,"$53,076.67",2 Players
16.,Belgium,"$52,308.64",3 Players
17.,Canada,"$43,636.67",8 Players
18.,Italy,"$30,468.64",7 Players
19.,Malta,"$28,077.34",10 Players
20.,Australia,"$17,408.64",8 Players
21.,Sweden,"$15,528.94",3 Players
22.,Russian Federation,"$15,054.54",5 Players
23.,Japan,"$11,768.64",7 Players
24.,Israel,"$11,461.36",1 Player
25.,Colombia,"$10,750.00",4 Players
26.,Austria,"$7,177.81",6 Players
27.,Turkey,"$7,000.00",4 Players
28.,Ghana,"$2,808.76",5 Players
29.,"Korea, Republic of","$2,500.00",5 Players
30.,Finland,"$1,658.64",3 Players
31.,China,"$1,300.00",3 Players
32.,Norway,"$1,300.00",3 Players
33.,Hong Kong,"$1,265.00",1 Player
34.,New Zealand,"$1,105.00",3 Players
35.,Thailand,"$1,000.00",2 Players
36.,Czech Republic,$565.00,1 Player
37.,Malaysia,$500.00,1 Player
38.,Ukraine,$500.00,2 Players
39.,South Africa,$400.00,1 Player
