rank,country,earning,players
1.,Saudi Arabia,"$525,250.00",8 Players
2.,Germany,"$394,127.44",40 Players
3.,France,"$176,844.72",18 Players
4.,United Kingdom,"$149,790.43",23 Players
5.,South Africa,"$109,110.00",10 Players
6.,Denmark,"$87,102.11",10 Players
7.,Poland,"$73,269.57",11 Players
8.,Belgium,"$70,000.00",2 Players
9.,Argentina,"$69,000.00",3 Players
10.,Hungary,"$65,213.81",4 Players
11.,Brazil,"$57,000.00",15 Players
12.,United States,"$48,750.00",10 Players
13.,Netherlands,"$46,441.76",8 Players
14.,Sweden,"$40,830.48",4 Players
15.,Malta,"$38,778.70",7 Players
16.,Spain,"$30,571.31",10 Players
17.,Australia,"$29,250.00",6 Players
18.,Canada,"$25,750.00",3 Players
19.,Italy,"$19,500.00",7 Players
20.,Ireland,"$18,904.88",1 Player
21.,Mexico,"$18,000.00",4 Players
22.,Japan,"$16,500.00",3 Players
23.,Czech Republic,"$15,755.71",6 Players
24.,Austria,"$14,576.97",3 Players
25.,Colombia,"$10,000.00",1 Player
26.,Finland,"$6,112.80",1 Player
27.,Hong Kong,"$6,000.00",5 Players
28.,Russian Federation,"$6,000.00",4 Players
29.,Indonesia,"$5,000.00",2 Players
30.,Slovakia,"$4,325.10",2 Players
31.,Ukraine,"$3,000.00",1 Player
32.,Bulgaria,"$2,500.00",1 Player
33.,Singapore,"$2,000.00",2 Players
34.,Thailand,"$2,000.00",2 Players
35.,Turkey,"$2,000.00",2 Players
36.,Uzbekistan,"$2,000.00",1 Player
37.,"Korea, Republic of","$1,500.00",2 Players
38.,China,"$1,000.00",1 Player
39.,Malaysia,$500.00,1 Player
40.,Mauritius,$344.33,1 Player
41.,Switzerland,$242.61,1 Player
