Country;Total E-Sports Earning;Average Broadband Internetspeed;Average mobile Internetspeed;Digital Competetiveness Index;Freedome House Index;Inverted Gender Inequality Index;Human Development Index;Internet Freedome Index;Nominal GDP;Total Olympic Medals;PPP GDP;PPP GDP per Capita;Population
Macao;1709577.89;217.19;232.22;;;;;;35841;0;63471;89558;649342
Nepal;1555902.53;91.73;20.63;;58;0.548;0.602;;42097;0;155890;5101;29609623
Lithuania;1533125.67;195.33;124.63;79.32;89;0.895;0.875;;78346;26;137389;49266;2742900
Egypt;1516719.09;46.10;35.82;;18;0.557;0.731;27;378110;38;1803584;16979;105162437
Iraq;1374050.95;43.76;41.66;;29;0.442;0.686;42;267893;1;560307;12927;41179350
Kyrgyzstan;1262899.03;58.48;37.30;;27;0.63;0.692;53;12309;7;43318;6250;6779142
Ireland;1179458.94;167.50;91.23;79.56;97;0.926;0.945;;594095;35;752831;145196;4982907
Colombia;986398.15;138.48;19.60;49.22;70;0.576;0.752;64;334689;34;1014978;19460;51338437
Morocco;966892.62;39.05;52.61;;37;0.575;0.683;51;138781;24;387233;10460;37344795
Moldova;941136.07;298.65;45.10;;62;0.795;0.767;;15829;6;42028;16840;2640438
Puerto Rico;933327.43;;;;;;;;120838;10;137372;43845;2863172
Bolivia;856538.68;39.69;15.47;;66;0.582;0.692;;46097;0;125267;10327;11812227
Dominican Republic;821003.80;43.64;74.86;;68;0.571;0.767;;121289;12;277741;25896;10937507
Myanmar;776161.53;26.85;30.43;;9;0.502;0.585;12;63988;0;278156;5132;55622506
Uruguay;686437.58;201.32;66.65;;96;0.765;0.809;;77313;10;102503;28740;3474182
Armenia;659262.53;83.63;37.32;;54;0.784;0.759;74;23725;18;57740;19489;2963243
United Arab Emirates;596348.41;270.37;367.35;91.42;18;0.951;0.911;28;498978;2;890171;88221;9980648
Iran;582817.16;24.04;50.80;;12;0.541;0.774;16;367970;76;1691819;19548;85028759
Kuwait;572620.24;193.03;227.51;;37;0.695;0.831;;164713;3;259640;53037;4328550
Azerbaijan;568651.83;38.50;55.59;;9;0.706;0.745;38;70030;49;193478;18669;10151549
Algeria;537084.45;18.86;28.57;;32;0.501;0.745;;206007;17;620971;13507;44616624
Uzbekistan;529661.70;71.33;42.71;;12;0.773;0.727;27;92332;37;371346;10308;34394080
Georgia;525233.25;30.44;44.75;;58;0.72;0.802;78;27947;40;80611;21922;3785627
Syria;476815.69;16.08;17.59;;1;0.523;0.577;;;4;;6374;18283837
Cuba;470344.47;8.96;13.85;;12;0.697;0.764;20;;241;;12300;11325533
Bahrain;410685.01;99.11;189.52;75.85;12;0.819;0.875;29;44870;4;95784;60596;1748296
Cambodia;405551.94;41.51;34.36;;24;0.539;0.593;43;30628;0;98405;6092;16889298
Venezuela;394517.76;52.90;15.15;27.00;15;0.508;0.691;30;96628;19;213054;8028;28435940
Kosovo;353694.42;79.74;43.86;;60;;;;9990;0;27658;15620;1795666
Tunisia;351985.13;13.71;36.08;;56;0.741;0.731;61;49815;15;162358;13270;12156689
Ecuador;294169.96;90.56;32.45;;70;0.638;0.74;64;121291;5;246745;13513;17684470
Laos;292645.28;48.70;37.35;;13;0.522;0.607;;14091;0;74309;9801;7775053
Montenegro;287679.19;88.13;59.80;;67;0.881;0.832;;7027;1;17282;27761;628053
Afghanistan;280397.90;8.57;7.02;;8;0.322;0.478;;;2;;2456;39835428
Iceland;248736.68;;;84.97;94;0.957;0.959;95;28625;4;26569;69779;356991
Bangladesh;215431.51;58.35;24.74;;40;0.47;0.661;43;420516;0;1475164;8663;166303498
Malta;178383.15;198.80;107.69;;89;0.833;0.918;;19405;0;32495;61939;514564
Albania;147848.15;81.45;64.19;;67;0.856;0.796;;20177;0;54392;19029;2873457
Costa Rica;137245.51;97.15;44.39;;91;0.744;0.809;88;77777;4;139482;26422;5213716
Gibraltar;127329.51;;;;;;;;;0;;61700;33691
Brunei;123469.43;64.85;108.41;;28;0.741;0.829;;15988;0;33387;75583;466153
Guatemala;112408.22;59.55;75.74;;49;0.519;0.627;;102309;1;201360;10546;18830195
Nicaragua;105055.86;68.98;28.50;;19;0.576;0.667;45;17287;0;50749;7601;6963199
Luxembourg;103729.95;213.34;131.29;76.47;97;0.956;0.93;;86971;4;93618;142490;634814
Panama;91236.21;177.93;26.64;;83;0.608;0.805;;77257;3;178900;40177;4496783
